,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
1837,coupant en dés\\des quartiers de pomme -\\la lune à la fenêtre,H,H,0.28154693602740677,0.7184530639725932
314,zazen —\\cette mouche qui se heurte\\contre la vitre ensoleillée,H,H,0.3142781546214689,0.6857218453785311
1054,givre sur le pare-brise --\\je me souviens combien\\j'ai bu la nuit dernière,H,H,0.31104247610395375,0.6889575238960463
2434,Retour de colo\\il parle des rouges-gorges\\d'une autre voix,F,H,0.23980955582803765,0.7601904441719624
86,lentement\\le scarabée avance\\tempête de juin,H,H,0.3202819666661605,0.6797180333338395
2179,café amer –\\des bris de vitrines\\sous mes semelles,H,H,0.49815605814435904,0.501843941855641
823,dimanche 7/1/7\\le couteau à cheval\\sur la fève,H,H,0.35618243652563053,0.6438175634743695
50,Ciel nuageux\\le soleil un rouge vif\\première tasse de café,F,H,0.493417610167887,0.506582389832113
3013,neige couvre le givre--\\jouant une pièce gaie au violon\\mince lumiere sous ta porte,F,H,0.3060581786665062,0.6939418213334938
2142,Blanche\\comme un linceul\\la piste noire,F,H,0.34668550641199225,0.6533144935880077
2548,un frisson soudain\\dans le passage à l'ombre -\\l'odeur des aubépines,H,H,0.34418158153250167,0.6558184184674983
1567,Page blanche\\l'ombre du stylo\\immobile,H,H,0.32149655784573894,0.6785034421542611
1466,le brouillard tourne en pluie\\dernier jour de notre chat,H,H,0.31084583083335215,0.6891541691666478
2752,   jour de printemps\\   froid et gris\\   une tasse de thé,F,H,0.45151085472552677,0.5484891452744732
1148,La lune sur les cèdres\\dans la forêt pluviale\\l'odeur de toi,F,H,0.4534868917481538,0.5465131082518462
2532,vieux pommier -\\un bruit de scie emplit\\l'espace vide,H,H,0.31018237774063007,0.6898176222593699
1239,Librairie Sauramps\\Des haïkus du bord de mer\\pour passer l'hiver,H,H,0.2889711681088505,0.7110288318911495
1738,Ombres d'épitaphes\\les tombes s'allongent\\au soleil couchant,H,H,0.3538181610932254,0.6461818389067746
1921,l'orage ce matin\\un demi-cercle parfait\\du rosier en fleurs,F,H,0.3646239268886734,0.6353760731113266
3162,automne profond~\\nichée sur mes doigts l'odeur\\de mandarine,F,F,0.5129508578991039,0.4870491421008961
1893,   soir de pleine lune\\   - les seins des mannequins\\   dans la vitrine,H,H,0.2868899187611167,0.7131100812388833
2747,après la pluie une rue d'hiver pleine de lunes,H,H,0.250476184428047,0.749523815571953
1023,nuit sans lune --\\tirant le chien\\d'ombre en ombre,H,H,0.2432306937630585,0.7567693062369415
1098,ouvrir la fenêtre\\et humer le lilas blanc\\éclos cette nuit,H,H,0.3391474197991453,0.6608525802008547
1612,fumeurs agglutinés --\\une autre conversation\\sur le Cloud,H,H,0.22500542148182434,0.7749945785181757
2405,Les bas quadrillés\\sur les belles cuisses de cette femme\\- sudoku ?,H,H,0.3645790972887548,0.6354209027112452
2634,ville fantôme --\\un coq chante\\sans aucune raison,H,H,0.2894043816089007,0.7105956183910993
2858,personne ne voit\\les kakis rouges du\\jardin abandonné,H,H,0.28843132869396904,0.711568671306031
1445,un ciel gris plane\\une petite fissure dans les nuages épais\\les bateaux de pêche rentrent,F,H,0.3772343516648269,0.6227656483351731
103,fin de l’été\\le trou de la poche du short\\encore plus grand,F,H,0.34368025047283646,0.6563197495271635
2414,reflets de la lune\\sur les canettes de Coca\\- benne à ferraille,H,H,0.29587043058580653,0.7041295694141935
1022,poubelle --\\des mouches\\et les ombres des mouches,H,H,0.3225823655661174,0.6774176344338826
101,Touillant le café\\avec ma vieille cuillère ~\\un nouveau jour,H,H,0.2665621914190762,0.7334378085809238
391,tonnerre lointain --\\une averse de pollen\\tombe des arbres,H,H,0.2731976754289438,0.7268023245710562
3158,gazaouï\\on pourrait croire\\le chant d'un oiseau,H,H,0.3527084677811486,0.6472915322188514
2482,une île flottante\\à coups de petite cuillère -\\m'échapper du monde,F,H,0.250285299325018,0.749714700674982
1511,Vagues sur la plage\\bruit des galets roulant\\sous notre étreinte,F,H,0.427637209072497,0.572362790927503
2001,le lapin et le faucon --\\une affreuse vérité tache\\de rouge la neige fraîche,H,H,0.31995766096979705,0.680042339030203
3295,halo du lampadaire -\\le merle noir plus noir\\que son ombre,H,H,0.31877103804203166,0.6812289619579683
1042,au plus fort de l'été\\où les ombres s'arrêtent\\le chien aussi,H,H,0.29525417080444605,0.704745829195554
970,minuit.\\la ruade unique de l'étalon\\contre le mur,F,H,0.29790034716679326,0.7020996528332067
164,Des éclats de rires\\tombent par la fenêtre\\- samedi soir,H,H,0.3252185963562828,0.6747814036437172
963,arrêt d'autobus\\ils sont deux à guetter\\un nuage,F,H,0.3766206157901345,0.6233793842098655
2964,soleil derrière le nuage\\une petite citrouille chaude\\dans ma paume,F,H,0.30789386646192973,0.6921061335380703
1402,Saisons des amours ~\\Les escargots ramassés\\deux par deux,F,H,0.41833666771356826,0.5816633322864317
2116,A la porte du cimetière\\trois vieux amis\\parlent rhumatismes,H,H,0.26038163899889033,0.7396183610011097
608,à Gaza\\la fumée des chars\\dans l'autre sens,H,H,0.34823768115204223,0.6517623188479578
1159,ce matin\\du balcon mouillé\\ramasser les restes de cire\\de la bougie-Charlie,H,H,0.3929171653719248,0.6070828346280752
1066,Attendons un peu.\\D'un champ à la menthe.\\La nuit viendra.,F,H,0.3905801078616603,0.6094198921383397
1436,nuit de novembre -\\sur mes mains l'odeur\\de l'herbe broyée,H,F,0.539897337591249,0.4601026624087509
1677,allongés coeur contre coeur\\à écouter\\le feu d'artifices,H,H,0.2738729348219301,0.7261270651780699
2883,Moisson-\\l'épouvantail veille\\sur la théière,H,H,0.32727909027587676,0.6727209097241232
1799,fin du jour\\sur la terrasse une tasse\\reste encore un peu,H,H,0.32816987229124395,0.671830127708756
1001,grêlons cinglants -\\&gt;du bassiste\\&gt;les doigts bleuis,H,H,0.31632221710641717,0.6836777828935828
1126,"le jour tombe\\du haut du toit au haut de l'arbre,\\l'écho des corbeaux",H,H,0.26412739770461147,0.7358726022953885
2150,écroulée la grange\\de mes premiers baisers -\\froid pénétrant,H,H,0.33579041804377285,0.6642095819562271
2517,nuit des étoiles -\\dans ses taches de rousseur\\la grande ourse,H,H,0.35678187199044087,0.6432181280095591
2800,Voyage.\\À la station-service.\\La pluie s'arrête.,F,H,0.25010994466616476,0.7498900553338352
14,vieille tuile ~\\j'emporte le toit\\du cloporte,H,H,0.2713820703580151,0.7286179296419849
1200,dans la brume\\le cou d'une oie\\heure d'hiver,F,H,0.28907448944822245,0.7109255105517776
3307,un scorpion\\se hâte dans le patio-\\sirocco,F,H,0.33369526909071257,0.6663047309092874
1805,"Sous l'orage qui gronde,\\l'éclair des fleurs\\du sureau",H,H,0.3154377189479358,0.6845622810520642
3155,matin noir\\et blanc de brouillard\\et ces croix de bois,H,H,0.3603597303133669,0.6396402696866331
2574,musique de carrousel ?\\je vois encore mon frère\\sur le poney de bois peint,F,H,0.26653803333669224,0.7334619666633078
2436,Maison abandonnée\\de la fenêtre cassée\\la lune sort,H,H,0.22661775119712269,0.7733822488028773
3234,Maison des grands-parents\\souvenir d'enfance\\Dans la voix de la pluie,H,H,0.35194765079065016,0.6480523492093498
1552,arthrite -\\un autre verre de vin\\de la main gauche,H,H,0.2637460252452103,0.7362539747547897
3306,jour pluvieux de février\\nuage après nuage après nuage\\prière pour un jour clair,F,H,0.4180191057062317,0.5819808942937683
2554,place handicapés ~\\une voiture couverte\\de feuilles mortes,H,H,0.21600082492025918,0.7839991750797408
2602,petit concert de voitures\\le matin\\pour se mettre en route,H,H,0.3155975369245977,0.6844024630754023
1212,entracte\\-- le mort du premier acte\\sert les bières,H,H,0.24843888539062686,0.7515611146093731
2043,pleine lune --\\les citrouilles dans le champ\\prêtes à être cueillies,F,H,0.35893072411360605,0.641069275886394
505,la neige tombe\\un peu inclinée\\la lune,F,H,0.28852378796154,0.71147621203846
2509,Rentrée des classes -\\sur le chemin de l'école\\l'étal du boucher,H,H,0.2784462390746968,0.7215537609253032
2728,équinoxe\\toutes les couleurs de l'automne\\dans le ciel,F,H,0.3364487863226926,0.6635512136773074
1768,orage -\\le goût sucré\\du poivron frit,F,H,0.35655630128739246,0.6434436987126075
245,Jour d'action de grâce -\\récoltes généreuses\\achetées à vil prix,H,H,0.36933963560115857,0.6306603643988414
2654,passage du désir -\\j'y donnais souvent rendez-vous\\à ma mère,H,H,0.3159641735227293,0.6840358264772707
951,foule au souk\\les abricots en cageots\\suffoquent,F,H,0.37030174490041634,0.6296982550995837
674,grommelant quelque chose\\le merle sur le poteau de clôture\\Jour de l'élection -,H,H,0.39371545809144315,0.6062845419085569
1046,\\dans une nuit froide\\l'écho vide de ta voix,H,H,0.24640870634593126,0.7535912936540687
1263,ciel d'hiver -\\elle ajoute un peu de bleu\\sur ses paupières,H,H,0.33071361625722195,0.669286383742778
3279,rentrée scolaire -\\compter par centaines\\de morts,H,H,0.2877584835250826,0.7122415164749174
146,"Le vieux frêne brille\\comme un sapin de noël,\\nuit froide d'avril",H,H,0.2428621094713762,0.7571378905286238
2515,froid piquant --\\même les lumières de Noël\\semblent grelotter,H,H,0.2838444385473692,0.7161555614526308
2053,miroir\\ce visage face à moi\\plus vieux semble-t-il,F,H,0.40790647790552226,0.5920935220944777
2879,bouquet de roses~\\sur sa robe blanche\\quelques gouttes de vin,F,H,0.3542172593995867,0.6457827406004133
59,sur tous les objets\\qu'il a regardés ici\\beaucoup de poussière,F,H,0.4113510507580208,0.5886489492419792
816,pluie battante\\deux talons aiguilles\\battent le pavé,H,H,0.28314371110293135,0.7168562888970686
2652,pleine lune d`octobre\\sur les rails --\\le vent chaud,F,H,0.42474229039862077,0.5752577096013792
1540,détacher\\le bouton de dessus de sa blouse\\avec mes yeux,H,H,0.42392797769346646,0.5760720223065335
2329,soir d'hiver\\dans la foule un inconnu\\que je connais,F,H,0.2495783459301758,0.7504216540698242
2073,"Boulevard Barbès\\femme en sari bleu nuit,\\début d'averse.",H,H,0.2834832291750644,0.7165167708249356
2009,signature anonyme\\vieilles empreintes de pigeon\\dans le ciment nu,H,H,0.278893972903568,0.721106027096432
2489,tas de repassage - \\dans la jupe de l'été \\trois pignons de pins,F,H,0.37511352546171495,0.624886474538285
423,l’alcool joyeux \\du jour précédant \\la pleine lune,H,H,0.30929584601602245,0.6907041539839776
224,Parfum de jasmin\\derrière les cyprès la moitié de la lune,H,H,0.29133426275655827,0.7086657372434417
2581,le travail terminé\\mon ombre atteint\\les lauriers ensoleillés,H,H,0.30993460797440575,0.6900653920255942
2186,Retour à la maison\\son odeur traine\\sont son kimono,F,H,0.31296630455470675,0.6870336954452932
535,sur la corde à linge\\les oiseaux en haut\\les épingles en bas,H,F,0.501206873936962,0.4987931260630381
200,mauvaise nouvelle --\\j'ouvre les fenêtres\\pour laisser le froid sortir,H,H,0.31449700578288875,0.6855029942171113
1883,endormie dans le train\\la douce montée et descente\\de sa poitrine,H,H,0.3630084717370835,0.6369915282629165
625,équinoxe d'automne -\\cherchant un mot pour dire\\le rouge du jasmin,H,H,0.26026933201026836,0.7397306679897316
2635,premier thé -\\la nuit transfigurée\\de Schoenberg,H,H,0.3260056717491234,0.6739943282508766
477,jour bissextile --\\assis sur ma malette\\pour la fermer,F,H,0.33271161495578594,0.6672883850442141
651,fin d'année\\il y a un corbillard\\sur la bande de droite,H,H,0.3035296345653208,0.6964703654346792
2627,Soleil couchant\\Ils se lèvent de table\\Pour regarder,H,H,0.3390614791415102,0.6609385208584898
949,la guerre -\\des pères\\enterrent des fils,H,H,0.37666235533764125,0.6233376446623587
304,des nouvelles de sa rechute --\\si lente\\tombe la pluie,H,H,0.364783312195612,0.635216687804388
1591,une truite saute\\une plume tombe\\... jour d'émerveillements!,H,H,0.2956747470692631,0.7043252529307369
2916,compote de pommes\\bouillonne sur la cuisinière\\matin de novembre,F,H,0.3041356131221342,0.6958643868778658
1011,matin silencieux -\\quelques gouttes de lait\\dans mon café noir,H,H,0.27665348819250346,0.7233465118074965
2803,promenade du soir -\\le bruit\\d'escargots écrasés,H,H,0.32020916205790906,0.6797908379420909
2196,sirènes de police --\\une autre nuit\\sans lune,H,H,0.21732336435789334,0.7826766356421067
2780,Temple couvert de neige --\\une femme seule en manteau rouge\\s'agenouille quand même pour prier,F,H,0.2761617660596668,0.7238382339403332
2690,premières pousses --\\elle a des herbes jusqu'au capot\\la vieille auto,H,H,0.3213887500442959,0.6786112499557041
696,transplantant le jasmin\\une famille de cloportes\\expropriée,H,H,0.2914354359470166,0.7085645640529834
8,ciel gris\\trois nouvelles étoiles\\sur le jasmin,F,H,0.4252396494148545,0.5747603505851455
1137,lune froide~\\à petit feu\\l'assida blanche*,F,H,0.21385790132430427,0.7861420986756957
178,ciel étoilé -\\tout un champ d'éoliennes\\à l'arrêt,H,H,0.358426925304429,0.641573074695571
1627,verveine orange -\\une première étoile\\puis une deuxième,H,H,0.2944047469176315,0.7055952530823685
3166,Arrivée du train-\\les vêtements flottent\\Sur la corde à linge,H,H,0.39156964651322146,0.6084303534867785
911,après la pluie\\une flaque remplie\\d'étoiles,H,H,0.22435285432870178,0.7756471456712982
1602,Insomnie :\\l'odeur du pain\\qui cuit,H,H,0.38251695893592474,0.6174830410640753
323,retour en banlieue -\\sous le lit de feue ma mère\\tout un stock de morphine,H,H,0.38193826694155975,0.6180617330584403
1811,promenade d'été\\gouttes de pluie\\vapeur,F,H,0.2438495029937262,0.7561504970062738
2899,- rendez-vous -\\la peau du coin de l'ongle\\rongée jusqu'au sang,F,H,0.2949789192473994,0.7050210807526006
3204,coup de froid --\\le chien du ferrailleur\\et sa lourde chaïne,H,H,0.2499300987554579,0.7500699012445421
1646,mur du cimetière\\la vigne vierge déborde\\rouge en octobre,H,H,0.26145962625528263,0.7385403737447174
1773,nouvelle année -\\un autre calendrier\\au même clou,H,H,0.29026129437896464,0.7097387056210354
873,averse de juillet~\\quelques gouttes d'eau de fleurs d'oranger\\dans mon café,F,H,0.3179649763361526,0.6820350236638474
1656,nouvelle construction --\\on jette à bas\\mon enfance,H,H,0.3356489804105811,0.6643510195894189
151,torrent à truites -\\les éphémères dansent\\puis disparaissent,H,H,0.3000735711880945,0.6999264288119055
2057,occupying Wall Street\\les fantômes\\de mes rêves de retraite,H,H,0.3757895650929892,0.6242104349070108
3143,automne ce matin -\\l'oiseau sur son épaule gauche\\recouvert,H,H,0.36660568442746977,0.6333943155725302
1187,ah ce jour d'été\\où me prit soudain une envie\\de loukoum !,F,H,0.30947228728824516,0.6905277127117548
2556,lune gibbeuse --\\le bébé remue\\dans son ventre,F,H,0.27951815716045614,0.7204818428395439
3175,oiseau de nuit -\\la pupille dilatée\\de la barmaid,H,H,0.35482774247503013,0.6451722575249699
1653,abandonné par les oies\\partant vers le sud -\\mon anniversaire d'automne,H,H,0.3741655830302518,0.6258344169697482
2561,Orange sanguine\\à mon petit déjeuner\\le soleil se lève,F,H,0.40399203422320484,0.5960079657767952
1485,décolletés précoces :\\fruits déjà mûrs\\d'avril,H,H,0.30702588198976133,0.6929741180102387
2137,Gold Beach\\un tag délavé\\sur le blockhaus,H,H,0.3430240355705918,0.6569759644294082
788,la brume d'automne cache\\l'île à l'horizon\\elle nettoie ses lunettes,F,H,0.3351276378169207,0.6648723621830793
1772,la voiture de police ralentit -\\des renards de banlieue\\pillant les poubelles,H,H,0.2704281839797076,0.7295718160202924
1798,dénouer \\les cordes d'hamac;\\l'odeur des feuilles brûlées,H,H,0.39279463822375704,0.607205361776243
2002,dans le rétroviseur\\le regard d'amour de la mère\\pour sa fille qui récite,H,H,0.3181496316115112,0.6818503683884888
2306,lit défait\\un sourire sur le bord\\de la flûte vide,F,H,0.2907990650170439,0.7092009349829561
2188,légères vibrations\\de la balance sous mes pieds-\\bientôt l'équinoxe,F,H,0.43124314218488846,0.5687568578151115
1338,paysage d'hiver\\petits poils au-dessus de sa lèvre\\un magazine de mode,F,H,0.26956176073253335,0.7304382392674666
1990,terrorisme local --\\des phalènes brumeuses\\sur la porte,H,H,0.35228467784752426,0.6477153221524757
2494,cour de récré abandonnée --\\le graffiti\\s'estompe,H,H,0.23938325101100688,0.7606167489889931
2427,averse au jardin\\elle a fait naufrage\\la tarte aux pommes,F,H,0.27827670612050204,0.721723293879498
868,le crissement\\de la première feuille\\un doux soupir,F,H,0.44272843901643855,0.5572715609835615
899,"ajoutant\\des nuages aux nuages, \\l'incinérateur",H,H,0.4934393357172968,0.5065606642827032
1372,gardien de nuit\\faisant ses rondes -\\pleine lune,H,H,0.28623649980908106,0.7137635001909189
557,rencart d'après-midi ...\\le tonnerre claque au-dessus de nos têtes\\dans la chaleur collante,F,H,0.27811739567039595,0.721882604329604
1770,"physalis séchés - le couteau noir, posé pour peler l'orange",H,H,0.3438835975138077,0.6561164024861923
2170,train bondé --\\l'éclat rouge vif\\de son rouge à lèvres,H,H,0.3046265040558651,0.6953734959441349
429,La limace\\et la crotte du chien\\nez à nez,F,H,0.28717248997391487,0.7128275100260851
465,"180 morts, 8 attentats\\à Karachi aujourd'hui\\Zidane s'explique à la télé",H,H,0.3711108352214456,0.6288891647785544
2781,dans les ruines\\de la maison des dunes\\les orchidées sauvages fleurissent,H,H,0.3877641584900582,0.6122358415099418
75,Matin de printemps~\\dans les odeurs de lisier\\vol d'un papillon,F,H,0.4095169962335635,0.5904830037664365
3082,nouvelle vague -\\tonnerre de gros galets\\suivis d'écume,F,H,0.28048739401592904,0.719512605984071
933,lune du loup --\\soudain je la vois\\sous un air différent,H,H,0.2656464952978893,0.7343535047021107
1480,amitié estivale\\expliquer le Haïku -\\comme l'an dernier,H,H,0.28412035445753325,0.7158796455424667
232,bleu profond de la nuit \\la résine et le sel des pins\\si loin de la mer,F,H,0.44123243439267557,0.5587675656073244
2819,Salle des I.R.M\\la porte et tous ses symboles\\déjà redoutable,H,H,0.3318084900053504,0.6681915099946496
3076,vie sauvage -\\une bestiole passe\\devant la TV,H,H,0.2285491183142342,0.7714508816857658
1281,au fond de la malle\\son vieux pinceau à poudrer\\— matin de givre,F,H,0.3692096384409006,0.6307903615590994
2321,tard dans la nuit\\avec Ryokan -\\je réchauffe le vin de riz,H,H,0.3182643358710854,0.6817356641289146
834,petit déjeuner\\les branches déployées\\du cerisier,F,H,0.3403329850088346,0.6596670149911654
808,"Cinq années de haïku\\dans une grande boite de carton\\dessus, le chat",F,H,0.27328842616659,0.72671157383341
3079,barbe de huit jours -\\le froid de ce soir d'automne\\un peu plus piquant,H,H,0.3052782639638867,0.6947217360361133
3281,soir d'anniversaire -\\un bracelet rouge\\offert à ma montre,H,H,0.2610218059397771,0.7389781940602229
518,veillant sur\\la pelouse de banlieue\\un Bouddha souriant,H,H,0.298626175071405,0.701373824928595
55,lendemain de mescal --\\les cloches de l'église\\désynchronisées,H,H,0.30729076971928593,0.6927092302807141
1697,une autre poussière\\le lendemain de la pluie\\traces des gouttes,F,H,0.22767281533235728,0.7723271846676427
2141,soleil du matin\\les miettes sur la table\\ont une ombre,H,H,0.35974080505914585,0.6402591949408541
2526,les deux moitiés\\d'un orvet,H,H,0.394983283540137,0.605016716459863
1523,chaque soir\\au bout de la route\\l'usine Seveso,H,H,0.27048982626092977,0.7295101737390702
1061,volets disjoints -\\juste assez de jour\\pour un haïku,H,H,0.2471852170500466,0.7528147829499534
3290,lune voilée~\\si brillants les yeux\\du chat mort,F,H,0.4283618547630077,0.5716381452369923
1354,je vide la bouteille de vin -\\une autre conversation\\à propos de Maman,H,H,0.16511290312236115,0.8348870968776388
1315,photo d'archive\\les sourires des patineurs\\figés dans le temps,H,H,0.4488449717011186,0.5511550282988814
1853,au bout du champ\\deux moineaux sur son chapeau\\- l'épouvantail,H,H,0.3237553550695549,0.6762446449304451
2,La cour de la prison\\dans la flaque de la pluie\\la lune,H,H,0.2586298904996951,0.7413701095003049
2280,Etang de Walden --\\toutes les places de parking\\occupées,H,H,0.3212784457455292,0.6787215542544708
2745,chaleur moite -\\au loin l'épaisse musique\\d'une fête foraine,H,H,0.23158585278039467,0.7684141472196053
978,temête dans une théière --\\ma mère\\me sert un déca,H,H,0.2872502555430225,0.7127497444569775
1785,appel à l'aube\\bruissement soyeux\\du tapis de prière,F,H,0.2884841152184079,0.7115158847815921
1650,se joignant en silence\\à la conversation . . . \\les étoiles sur la prairie,F,H,0.3486166062435725,0.6513833937564275
2849,l'houhou de la chouette\\sans réponse\\cette nuit d'automne,F,H,0.2954678784600424,0.7045321215399576
2570,sur la terrasse\\mon café miroitant\\sucrer le ciel,H,H,0.29705102025329944,0.7029489797467006
632,Le jour s'éteint\\Au coeur du vieux temple\\Le bouddha veille,F,H,0.2988400047522749,0.7011599952477251
282,heure de pointe -\\dans les odeurs de déo\\je m' invente un printemps,H,H,0.3180131887800042,0.6819868112199958
875,nuit d'équinoxe -\\la couverture un peu plus haut\\sur ses jambes,H,H,0.34775485350534796,0.652245146494652
1547,lumières de Noël\\la silhouette des arbres\\dans le noir,H,H,0.25769514221545253,0.7423048577845475
100,epiphanie -\\cloué sur sa croix\\un sapin nu,H,H,0.3575673975575372,0.6424326024424628
1132,lune croissante~\\la voisine de nouveau\\enceinte,F,H,0.2992743888836469,0.7007256111163531
426,quartier de l'aéroport\\sous les traînées qui s'estompent\\le vol du héron,F,H,0.28394935295346657,0.7160506470465334
3125,vent glacial -\\des feuilles mortes se pressent\\sur la pierre du seuil,H,H,0.28248567265792146,0.7175143273420785
3031,nuit sans étoiles --\\je finis le vin\\trop vite,H,H,0.3516792858126683,0.6483207141873317
720,Mandarines\\disposées en pyramides\\chez l'Egyptien,H,H,0.3147637490460401,0.6852362509539599
883,dimanche d'hiver -\\tous mes cheveux\\jetés aux flammes,H,H,0.4186139146515645,0.5813860853484355
237,Pleine lune d'hiver -\\un instant mon ombre et moi\\entre les nuages,H,H,0.31294915528926914,0.6870508447107309
874,les bourgeons gris\\de la glycine - aujourd'hui\\il aurait seize ans,F,H,0.4063155960359126,0.5936844039640874
36,une  alarme\\au loin dans la nuit -\\ses pieds glacés,H,H,0.248955233365022,0.751044766634978
3100,Premier ciel dégagé -\\entre Orion et sa chienne\\un avion gronde.,H,H,0.2987317818145211,0.7012682181854789
2927,brume estivale - \\la ville en ombres chinoises \\du noir au gris,H,H,0.3099773383449823,0.6900226616550177
3208,matin d'élection -\\les trois coqs du village\\s'égosillent,H,H,0.3096240798003166,0.6903759201996834
3149,tout le jour\\les rugissements d'agonie\\alors que le vieux chêne meurt,H,H,0.3383776346678823,0.6616223653321177
569,nouvelle lune --\\une voiture abandonnée\\sur l'allée des amoureux,H,H,0.23001351844280105,0.769986481557199
1516,décès de ma grand-tante -\\un papillon blanc\\traverse le jardin,H,H,0.2670331915172832,0.7329668084827168
670,travaux de couture –\\par le chas de l’aiguille\\s’immisce l’automne,H,H,0.33153634038048485,0.6684636596195151
117,pleine lune de mars\\tout ça de nouvelles tombes?\\couvertes de fleurs,F,H,0.33598169967695113,0.6640183003230489
1735,marée montante ~\\sur le quai des marginaux\\descendant du rhum,H,H,0.2955039697037529,0.7044960302962471
1727,abimé par endroits\\jusqu'au bois –\\le bouddha doré,H,H,0.25012166851476836,0.7498783314852316
2909,bientôt minuit\\le Père Noël en plastique\\se dégonfle,F,H,0.3407071545265178,0.6592928454734822
1331,ablutions matinales -\\le canal en gouttes rondes\\sur le dos d'un canard,H,H,0.3022818959276541,0.6977181040723459
2552,par le trou du bagel\\il me montre\\la pleine lune,H,H,0.2981493036210856,0.7018506963789144
326,temps cru dehors\\un thé menthe entre les mains\\je médite en silence,H,H,0.4056619247857719,0.5943380752142281
950,mi-nuit\\le bruit d'un volet qu'on déroule\\quelque part,F,H,0.4168612477518141,0.5831387522481859
1373,dimanche d'automne\\écobuages\\et coups de feu,H,H,0.3050789194664091,0.6949210805335909
316,Arbres dénudés\\Plus qu'une touffe de gui\\pour leur tenir chaud,F,H,0.32382200815052264,0.6761779918494774
3035,Ta chemise blanche\\soleil suspendu\\dans mon armoire,H,H,0.3306748789474726,0.6693251210525274
246,(vente de vieilleries --\\son mari dans la chaise\\qui ne vaut pas la peine de garder),F,H,0.2618047747323986,0.7381952252676014
1689,Matin brumeux.\\Sans cesse elle croise ses doigts\\-- marque d'une bague.,H,H,0.3428319207818179,0.6571680792181821
